,Style,Model,Grade,Stories,Occupancy,Exterior_Wall1,Exterior_Wall2,Roof_Structure,Roof_Cover,Interior_Wall1,Interior_Wall2,Interior_Flr1,Interior_Flr2,Heat_Fuel,Heat_Type,AC_Type,Total_Bedrooms,Total_Full_Bthrms,Total_Half_Baths,Total_Xtra_Fixtrs,Total_Rooms,Bathrm_Style,Kitchen_Style,Base_Area,Cndtn,Fdtn_Type,Bsmt_Type,Total_Kitchens,Fireplaces,Half_Bath_Grade,FndtnCndtn,Basement,PID,Location,Image,Year_Built,Living_Area,Replacement_Cost,Building_percent_Good,Less_Depreciation,Grade,Roof_Structure,Interior_Floor1,Interior_Floor2,Ext_Qual,Int_Qual,Struct_Class,Bldg_Use,Bath_Grade,Elevator,Sprinkler,1st_Floor_Use,Heat_AC,Frame_Type,Baths_Plumbing,Ceiling_Wall,Rooms_Prtns,Wall_Height,percent_Comn_Wall,Interior_Wall1,Interior_Wall2,Heat_Sys,Ttl_Bedrms,Ttl_Bathrms,Ttl_Half_Bths,Xtra_Fixtres,Bath_Style,Kitchen_Style,Kitchen_Type,Kitchen_Func,Primary_Bldg_Use,Pct_Com_Int,Atypical,Park_Type,Park_Own,Park_Tandem,FIREPLACES,Floor_Number,Base_Flr_Pm,End_Unit,Attic_Fin_Pct,Bsmt_Fin_Pct,Special_Feature,Kitchen_Grade,Residential_Units,Exterior_Wall1,Exterior_Wall2,Cmrcl_Units,ResCom_Units,Section_num,Parking_Spaces,Section_Style,Foundation,Security,Condo_Appeal,Remod_Ext,Super,Grade2,acctnum
13,Typical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51129,0 BELMONT ST,https://images.vgsi.com/photos2/WorcesterMAPhotos//\00\07\07\90.jpg,,0,$0 ,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-010-00005
14,Typical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51733,0 BEACON ST,https://images.vgsi.com/photos2/WorcesterMAPhotos//\00\08\48\06.jpg,,0,$0 ,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-010-00006
15,Typical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56521,0 BELMONT ST,https://images.vgsi.com/photos2/WorcesterMAPhotos//\00\06\18\57-003-0001D.jpg,,0,$0 ,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-010-00007
16,Typical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56535,0 BELMONT ST,https://images.vgsi.com/photos2/WorcesterMAPhotos//\00\07\23\43.jpg,,0,$0 ,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-010-00008
17,Typical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57617,0 BELMONT ST,https://images.vgsi.com/photos2/WorcesterMAPhotos//default.jpg,,0,$0 ,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-010-00010
18,Typical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54674,0 BELMONT ST,https://images.vgsi.com/photos2/WorcesterMAPhotos//\00\02\74\17-017-00001.jpg,,0,$0 ,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-010-00011
19,Typical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52965,0 BENEFIT ST,https://images.vgsi.com/photos2/WorcesterMAPhotos//\0136\P1100743_136534.JPG,,0,$0 ,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-010-00012
20,Typical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51554,0 BOYNTON ST,https://images.vgsi.com/photos2/WorcesterMAPhotos//\00\01\12\02-043-00006.jpg,,0,$0 ,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-010-00015
21,Typical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56262,0 BENSON AVE,https://images.vgsi.com/photos2/WorcesterMAPhotos//\0136\P1100618_136470.jpg,,0,$0 ,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-010-00017
22,Typical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55184,0 BOYCE ST,https://images.vgsi.com/photos2/WorcesterMAPhotos//\00\07\19\48.jpg,,0,$0 ,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-010-00023
